127.0.0.1 - - [28/Aug/2020:09:36:50 +0900] "GET / HTTP/1.1" 200 11414
0:0:0:0:0:0:0:1 - - [28/Aug/2020:09:38:35 +0900] "GET /Javascript/example/function.html HTTP/1.1" 200 221
0:0:0:0:0:0:0:1 - - [28/Aug/2020:09:38:51 +0900] "GET /Javascript/example/function.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2020:09:38:51 +0900] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [28/Aug/2020:09:39:13 +0900] "GET /Javascript/example/function.html HTTP/1.1" 200 235
0:0:0:0:0:0:0:1 - - [28/Aug/2020:09:39:13 +0900] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [28/Aug/2020:09:39:39 +0900] "GET /Javascript/example/function.html HTTP/1.1" 200 246
0:0:0:0:0:0:0:1 - - [28/Aug/2020:09:39:39 +0900] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [28/Aug/2020:09:44:45 +0900] "GET /Javascript/example/function.html HTTP/1.1" 200 381
0:0:0:0:0:0:0:1 - - [28/Aug/2020:09:44:58 +0900] "GET /Javascript/example/function.html HTTP/1.1" 200 382
0:0:0:0:0:0:0:1 - - [28/Aug/2020:09:44:58 +0900] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [28/Aug/2020:09:45:42 +0900] "GET /Javascript/example/function.html HTTP/1.1" 200 436
0:0:0:0:0:0:0:1 - - [28/Aug/2020:09:45:42 +0900] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [28/Aug/2020:09:45:54 +0900] "GET /Javascript/example/function.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2020:09:45:54 +0900] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [28/Aug/2020:09:45:55 +0900] "GET /Javascript/example/function.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2020:09:45:55 +0900] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [28/Aug/2020:09:45:55 +0900] "GET /Javascript/example/function.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2020:09:45:55 +0900] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [28/Aug/2020:09:45:56 +0900] "GET /Javascript/example/function.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2020:09:45:56 +0900] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [28/Aug/2020:09:45:56 +0900] "GET /Javascript/example/function.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2020:09:45:56 +0900] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [28/Aug/2020:09:45:56 +0900] "GET /Javascript/example/function.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2020:09:45:56 +0900] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [28/Aug/2020:09:45:57 +0900] "GET /Javascript/example/function.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2020:09:45:57 +0900] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [28/Aug/2020:09:46:14 +0900] "GET /Javascript/example/function.html HTTP/1.1" 200 426
0:0:0:0:0:0:0:1 - - [28/Aug/2020:09:49:52 +0900] "GET /Javascript/example/function2.html HTTP/1.1" 200 311
0:0:0:0:0:0:0:1 - - [28/Aug/2020:09:50:50 +0900] "GET /Javascript/example/function2.html HTTP/1.1" 200 329
0:0:0:0:0:0:0:1 - - [28/Aug/2020:09:50:50 +0900] "GET /favicon.ico HTTP/1.1" 200 21630
